"timestamp","plant_id","powers_1","powers_2","powers_3","phases_1","phases_2","phases_3","currents_1","currents_2","currents_3","voltages_1","voltages_2","voltages_3","harmonic_deviations_1","harmonic_deviations_2","harmonic_deviations_3","event_category","event_description","event_remark"
"2019-07-22 08:50:00.241","1000","152","153","169","60563","56917","55629","3469","3404","3711","17023","17037","17025","27","24","17","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:00.758","1000","151","153","169","59291","55896","54352","3472","3404","3711","17023","17035","17023","28","25","18","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:01.275","1000","148","153","169","57237","55254","54473","3393","3393","3680","17023","17026","17023","28","25","18","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:01.793","1000","151","153","169","60435","55369","54237","3455","3391","3669","17023","17028","17023","30","28","22","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:02.315","1000","152","153","168","57222","54990","54802","3429","3368","3653","17023","17031","17023","30","26","20","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:02.831","1000","152","153","169","61265","54557","53917","3421","3354","3647","17023","17031","17023","30","26","20","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:03.347","1000","151","152","167","57557","55132","54289","3408","3345","3625","17023","17030","17023","30","26","21","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:03.864","1000","152","153","168","51925","46229","48018","3405","3331","3619","17023","17030","17023","30","26","21","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:04.387","1000","151","152","168","56530","54356","54365","3403","3332","3619","17023","17028","17023","33","27","22","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:04.904","1000","151","152","168","59023","54618","53720","3397","3327","3615","17023","16960","17023","33","30","24","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:05.421","1000","150","152","168","58397","54808","54420","3401","3331","3618","17023","16960","17023","31","27","21","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:05.94","1000","150","152","168","63055","54812","54170","3413","3336","3647","17023","17025","17023","31","27","21","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
"2019-07-22 08:50:06.462","1000","150","152","168","60690","55398","54559","3427","3352","3647","17023","17028","17023","28","25","18","Werk geschlossen","nicht eingeplant, Freischicht, Werk geschlossen",NULL
